@relation PopulationISRAEL
@attribute Années date 'yyyy/MM/dd HH:mm:ss.SSS'
@attribute Valeurs numeric
@attribute Variations {1.32,1.56,1.62,1.63,1.67,1.71,1.78,1.79,1.82,1.84,1.86,1.87,1.88,1.9,1.93,1.94,1.95,1.96,1.98,1.99,2.0,2.01,2.03,2.11,2.13,2.26,2.31,2.39,2.42,2.43,2.53,2.57,2.58,2.6,2.62,2.64,2.65,2.68,2.69,2.7,3.02,3.14,3.19,3.36,3.37,3.52,3.56,3.75,4.04,4.13,4.41,4.94,6.2}
@data
'1960/01/01 00:00:00.000',2114020.0,?
'1961/01/01 00:00:00.000',2185000.0,3.36
'1962/01/01 00:00:00.000',2293000.0,4.94
'1963/01/01 00:00:00.000',2379000.0,3.75
'1964/01/01 00:00:00.000',2475000.0,4.04
'1965/01/01 00:00:00.000',2563000.0,3.56
'1966/01/01 00:00:00.000',2629000.0,2.58
'1967/01/01 00:00:00.000',2745000.0,4.41
'1968/01/01 00:00:00.000',2803000.0,2.11
'1969/01/01 00:00:00.000',2877000.0,2.64
'1970/01/01 00:00:00.000',2974000.0,3.37
'1971/01/01 00:00:00.000',3069000.0,3.19
'1972/01/01 00:00:00.000',3148000.0,2.57
'1973/01/01 00:00:00.000',3278000.0,4.13
'1974/01/01 00:00:00.000',3377000.0,3.02
'1975/01/01 00:00:00.000',3455000.0,2.31
'1976/01/01 00:00:00.000',3533000.0,2.26
'1977/01/01 00:00:00.000',3613000.0,2.26
'1978/01/01 00:00:00.000',3690000.0,2.13
'1979/01/01 00:00:00.000',3786000.0,2.6
'1980/01/01 00:00:00.000',3878000.0,2.43
'1981/01/01 00:00:00.000',3956000.0,2.01
'1982/01/01 00:00:00.000',4031000.0,1.9
'1983/01/01 00:00:00.000',4105000.0,1.84
'1984/01/01 00:00:00.000',4159000.0,1.32
'1985/01/01 00:00:00.000',4233000.0,1.78
'1986/01/01 00:00:00.000',4299000.0,1.56
'1987/01/01 00:00:00.000',4369000.0,1.63
'1988/01/01 00:00:00.000',4442000.0,1.67
'1989/01/01 00:00:00.000',4518000.0,1.71
'1990/01/01 00:00:00.000',4660000.0,3.14
'1991/01/01 00:00:00.000',4949000.0,6.2
'1992/01/01 00:00:00.000',5123000.0,3.52
'1993/01/01 00:00:00.000',5261000.0,2.69
'1994/01/01 00:00:00.000',5399000.0,2.62
'1995/01/01 00:00:00.000',5545000.0,2.7
'1996/01/01 00:00:00.000',5692000.0,2.65
'1997/01/01 00:00:00.000',5836000.0,2.53
'1998/01/01 00:00:00.000',5971000.0,2.31
'1999/01/01 00:00:00.000',6125000.0,2.58
'2000/01/01 00:00:00.000',6289000.0,2.68
'2001/01/01 00:00:00.000',6439000.0,2.39
'2002/01/01 00:00:00.000',6570000.0,2.03
'2003/01/01 00:00:00.000',6689700.0,1.82
'2004/01/01 00:00:00.000',6809000.0,1.78
'2005/01/01 00:00:00.000',6930100.0,1.78
'2006/01/01 00:00:00.000',7053700.0,1.78
'2007/01/01 00:00:00.000',7180100.0,1.79
'2008/01/01 00:00:00.000',7308800.0,1.79
'2009/01/01 00:00:00.000',7485600.0,2.42
'2010/01/01 00:00:00.000',7623600.0,1.84
'2011/01/01 00:00:00.000',7765800.0,1.87
'2012/01/01 00:00:00.000',7910500.0,1.86
'2013/01/01 00:00:00.000',8059500.0,1.88
'2014/01/01 00:00:00.000',8215700.0,1.94
'2015/01/01 00:00:00.000',8380100.0,2.0
'2016/01/01 00:00:00.000',8546000.0,1.98
'2017/01/01 00:00:00.000',8713300.0,1.96
'2018/01/01 00:00:00.000',8882800.0,1.95
'2019/01/01 00:00:00.000',9054000.0,1.93
'2020/01/01 00:00:00.000',9215100.0,1.78
'2021/01/01 00:00:00.000',9364700.0,1.62
'2022/01/01 00:00:00.000',9550600.0,1.99
